المعرف,النوع,"رمز المنتج (SKU)",الاسم,"تم النشر","هل هي مميزة؟","إمكانية العرض في الكاتلوج","وصف قصير",الوصف,"تاريخ بدء سعر التخفيض","تاريخ نهاية سعر التخفيض","حالة الضريبة","فئة الضريبة",متوفر؟,المخزون,"انخفاض كمية المخزون","الطلبات المسبقة مسموحة؟","تباع بشكل فردي؟","الوزن (kg)","الطول (cm)","العرض (cm)","الارتفاع (cm)","السماح بمراجعات الزبائن؟","ملاحظة عملية الشراء","سعر التخفيض","السعر الافتراضي",التصنيفات,الوسوم,"فئة الشحن",الصور,"حدود التنزيل","أيام مدة صلاحية التنزيل",الأب,"منتجات مُجمّعة","منتجات يوصى بها","منتجات تسويقية","رابط خارجي","نص الزر",الموضع,"بيانات ميتا: _wpml_word_count","بيانات ميتا: _checkbox_badge_hot","بيانات ميتا: _wc_facebook_sync_enabled","بيانات ميتا: fb_visibility","بيانات ميتا: fb_product_description","بيانات ميتا: _wc_facebook_product_image_source","بيانات ميتا: _wc_facebook_commerce_enabled","بيانات ميتا: _wpml_media_has_media","بيانات ميتا: _wpb_vc_js_status","بيانات ميتا: _wpml_media_duplicate","بيانات ميتا: _wpml_media_featured","بيانات ميتا: _wpml_location_migration_done","بيانات ميتا: fb_product_group_id","بيانات ميتا: fb_product_item_id","بيانات ميتا: _yoast_wpseo_content_score","بيانات ميتا: _yoast_wpseo_estimated-reading-time-minutes","بيانات ميتا: _yoast_wpseo_wordproof_timestamp","اسم السمة 1","قيمة/قيم السمة 1","عرض السمة 1","سمة عالمية 1","اسم السمة 2","قيمة/قيم السمة 2","عرض السمة 2","سمة عالمية 2","بيانات ميتا: _yoast_wpseo_primary_product_cat","بيانات ميتا: _yoast_wpseo_focuskw","بيانات ميتا: _yoast_wpseo_metadesc","بيانات ميتا: _yoast_wpseo_linkdex","بيانات ميتا: _oembed_12d42a806dc672d81f1b6eda3d16290d","بيانات ميتا: _oembed_time_12d42a806dc672d81f1b6eda3d16290d","بيانات ميتا: _oembed_0224b2a9772e4ceac1f5fcb08e0c57b7","بيانات ميتا: _oembed_time_0224b2a9772e4ceac1f5fcb08e0c57b7","بيانات ميتا: _oembed_277d867882773c77793b32f3037a5db5","بيانات ميتا: _oembed_time_277d867882773c77793b32f3037a5db5","بيانات ميتا: _vi_wad_aliexpress_variation_id","بيانات ميتا: _vi_wad_aliexpress_variation_attr","بيانات ميتا: fb_product_image","بيانات ميتا: fb_product_price"
3136,simple,,"magic - vanity unit",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,2450,3500,"الحمام > وحدات الحمام",,,https://betak.store/wp-content/uploads/2022/12/311734949_5521657834555079_8176637137754150057_n.jpg,,,,,,,,,0,"{""total"":6,""to_translate"":{""en"":6}}",no,yes,yes,,product,no,1,false,1,1,1,5220159721418562,5220159741418560,,,,,,,,,,,,,,,,,,,,,,,,,
3142,simple,,"jadour vanity unit for bathroom wooden",1,0,hidden,"<strong>jadour vanity unit for bathroom wooden</strong>","<h2><strong>jadour vanity unit for bathroom wooden</strong></h2>
\njadour vanity unit made from wood for your bathroom decoration
\n
\ncheck more on betak store",,,taxable,,1,,,0,0,,,,,1,,1608,3216,"الحمام > وحدات الحمام","vanity unit",,https://betak.store/wp-content/uploads/2022/12/309674062_5400047643382745_6128627819849314195_n.jpg,,,,,,,,,0,"{""total"":36,""to_translate"":{""en"":36}}",no,yes,yes,,product,no,1,false,1,1,1,5974133745979853,5974133785979849,,,,,,,,,,,,,,,,,,,,,,,,,
3145,simple,,"viola vanity unit for bathroom",1,0,hidden,"viola vanity unit for your bathroom decoration","<h2><strong>viola vanity unit for bathroom</strong></h2>
\nviola vanity unit for your bathroom decoration
\n
\ncheck more on <a href=""https://betak.store/"">betak store</a>",,,taxable,,1,,,0,0,,,,,1,,1244,2488,"الحمام > وحدات الحمام","vanity unit",,https://betak.store/wp-content/uploads/2022/12/312450378_5709473025813214_472115859742134769_n.jpg,,,,,,,,,0,"{""total"":32,""to_translate"":{""en"":32}}",no,yes,yes,,product,no,1,false,1,1,1,5903980702956878,5903980729623542,,,,,,,,,,,,,,,,,,,,,,,,,
3160,simple,,"light bathroom vanity unit wood",1,0,hidden,,"<h2><strong>light bathroom vanity unit wood</strong></h2>
\n<strong>the best light bathroom vanity unit made from wood</strong>
\n
\nmade by <a href=""https://betak.store/"">betak store</a> .. the best choose for your home design
\n
\ncheck more products on our store",,,taxable,,1,,,0,0,,,,,1,,3066,4379,"الحمام > وحدات الحمام",,,https://betak.store/wp-content/uploads/2022/12/310289827_5491943204187409_129850555569137129_n.jpg,,,,,,,,,0,"{""total"":39,""to_translate"":{""en"":39}}",no,yes,yes,,product,no,1,false,1,1,1,5663610527057650,5663610553724314,,,,,,,,,,,,,,,,,,,,,,,,,
3169,simple,,"SH-0004 - modern black shoe rack",1,0,hidden,,"<h2><strong>modern black shoe rack</strong></h2>
\nthe best modern black shoe rack you could ever find for your home
\n
\nyou could buy the modern black shoe rack from betak store
\n
\nand check more of our products
\n<p class=""fs-lg mb-sm""><a href=""https://betak.store/shop/wooden-shoe-rack-designed-for-home/"">simple wooden shoe rack designs</a></p>
\n<p class=""fs-lg mb-sm""><a href=""https://betak.store/shop/black-wooden-shoe-rack/"">black wooden shoe rack</a></p>",,,taxable,,1,,,0,0,,,,,1,,2270,3784,الجزامات,,,"https://betak.store/wp-content/uploads/2022/12/18-2.png, https://betak.store/wp-content/uploads/2022/12/4-4-2.jpg, https://betak.store/wp-content/uploads/2022/12/4-5-1.jpg, https://betak.store/wp-content/uploads/2022/12/4-6-1.jpg",,,,,,,,,0,"{""total"":53,""to_translate"":{""en"":53}}",no,yes,yes,,product,no,1,false,1,1,1,8753698784670588,8753698824670584,90,1,,,,,,,,,,,,,,,,,,,,,,,
3172,simple,,"SH-009 - black wooden shoe rack",1,0,hidden,,"<h2><strong>black wooden shoe rack </strong></h2>
\n<strong>black wooden shoe rack</strong> made by betak store
\n
\nits the best black shoe rack you could ever buy for your home .. to make it more modern and luxury
\n
\ncheck more on <a href=""https://betak.store/"">betak store</a>
\n<p class=""fs-lg mb-sm""><a href=""https://betak.store/shop/wooden-shoe-rack-designed-for-home/"">simple wooden shoe rack designs for home</a></p>",,,taxable,,1,,,0,0,,,,,1,,4258,7097,الجزامات,,,https://betak.store/wp-content/uploads/2022/12/311101007_5189292021199674_5012482536680898495_n.jpg,,,,,,,,,0,"{""total"":54,""to_translate"":{""en"":54}}",no,yes,yes,,product,no,1,false,1,1,1,6179610035384915,6179610058718246,,,,,,,,,,,,,,,,,,,,,,,,,
3387,simple,SK-SH-0006,"جزامة خشبية مودرن عبارة عن ضلفة بارفف تخزين احذية داخلية من بيتك ستور",1,0,visible,"جزامة عصرية","اقتن كل ماهو أنيق وعملي ايضاً، جزامة مصنوعة من خشب ملامين عالي الجودة والتحمل، سهلة التحريك، وضيف إلى منزلك لمسة جمالية رائعة
\nالخامه: ميلامين
\nمكونه من ضلفه و خمس ارفف",,,taxable,,1,,,0,0,,90,60,90,1,,2189,4378,الجزامات,,,"https://betak.store/wp-content/uploads/2022/12/21-1.png, https://betak.store/wp-content/uploads/2022/12/6-6-1.jpg, https://betak.store/wp-content/uploads/2022/12/6-4-2.jpg",,,,,,,,,0,"{""total"":47,""to_translate"":{""en"":47}}",no,yes,yes,,product,no,1,false,1,1,1,5986603944693412,5986604024693404,90,1,,,,,,,,,,,,,,,,,,,,,,,
3388,simple,SK-SH-0007,"جزامة خشبية مودرن عبارة عن درج تخزين و 3 ضلف بارفف داخلية لتخزين الاحذية من بيتك ستور",1,0,visible,"جزامة عصرية","اقتن كل ماهو أنيق وعملي ايضاً، جزامة مصنوعة من خشب ملامين عالي الجودة والتحمل، سهلة التحريك، وضيف إلى منزلك لمسة جمالية رائعة
\nالخامه: ميلامين
\nمكونه من درج و 3 ضلفه",,,taxable,,1,,,0,0,,100,90,100,1,,2885,5771,الجزامات,,,"https://betak.store/wp-content/uploads/2022/12/13-1.png, https://betak.store/wp-content/uploads/2022/12/7-3.jpg, https://betak.store/wp-content/uploads/2022/12/7-1-2.jpg",,,,,,,,,0,"{""total"":51,""to_translate"":{""en"":51}}",no,yes,yes,,product,no,1,false,1,1,1,8519796964760839,8519797111427491,90,1,,,,,,,,,,,,,,,,,,,,,,,
3389,simple,SK-SH-0008,"جزامة خشبية مودرن عبارة عن 2 ضلفة بارفف تخزين احذية داخلية من بيتك ستور",1,0,visible,"جزامة عصرية","اقتن كل ماهو أنيق وعملي ايضاً، جزامة مصنوعة من خشب ملامين عالي الجودة والتحمل، سهلة التحريك، وضيف إلى منزلك لمسة جمالية رائعة
\nالخامه: ميلامين
\nمكونه من دضلفتين",,,taxable,,1,,,0,0,,100,90,100,1,,3107,6213,الجزامات,,,"https://betak.store/wp-content/uploads/2022/12/17-2.png, https://betak.store/wp-content/uploads/2022/12/8-2-3.jpg",,,,,,,,,0,"{""total"":45,""to_translate"":{""en"":45}}",no,yes,yes,,product,no,1,false,1,1,1,5788639194588577,5788639227921907,90,1,,,,,,,,,,,,,,,,,,,,,,,
3390,simple,SK-SH-0009,"جزامة مودرن خشبية مع بانكت وبارفف تخزين داخلية بتصميم مميز وعصري من بيتك ستور",1,0,visible,"جزامة عصرية","اقتن كل ماهو أنيق وعملي ايضاً، جزامة مصنوعة من خشب ملامين عالي الجودة والتحمل، سهلة التحريك، وضيف إلى منزلك لمسة جمالية رائعة
\nالخامه: ميلامين
\nمكونه من 2 درج و 2 ضلفه و خوارنف + بف صغير مقاس",,,taxable,,1,,,0,0,,135,100,135,1,,4384,8768,الجزامات,,,"https://betak.store/wp-content/uploads/2022/12/50.png, https://betak.store/wp-content/uploads/2022/12/9-1-2.jpg, https://betak.store/wp-content/uploads/2022/12/9-3-1.jpg",,,,,,,,,0,"{""total"":55,""to_translate"":{""en"":55}}",no,yes,yes,,product,no,1,false,1,1,1,6102156793147906,6102156856481233,90,1,,,,,,,,,,,,,,,,,,,,,,,
